attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch 13000 | force_w 0.000 | train loss   0.2026 | valid acc 0.9615 | 0.155s / epoch | 
epoch 13100 | force_w 0.000 | train loss   0.2132 | valid acc 0.8462 | 0.155s / epoch | 
epoch 13200 | force_w 0.000 | train loss   0.2233 | valid acc 0.9615 | 0.155s / epoch | 
epoch 13300 | force_w 0.000 | train loss   0.2008 | valid acc 0.9615 | 0.153s / epoch | 
epoch 13400 | force_w 0.000 | train loss   0.2108 | valid acc 0.8462 | 0.154s / epoch | 
epoch 13500 | force_w 0.000 | train loss   0.2221 | valid acc 0.9615 | 0.153s / epoch | 
epoch 13600 | force_w 0.000 | train loss   0.2014 | valid acc 0.9615 | 0.154s / epoch | 
epoch 13700 | force_w 0.000 | train loss   0.2085 | valid acc 0.8462 | 0.154s / epoch | 
epoch 13800 | force_w 0.000 | train loss   0.2217 | valid acc 0.9615 | 0.154s / epoch | 
epoch 13900 | force_w 0.000 | train loss   0.1997 | valid acc 0.9615 | 0.154s / epoch | 
epoch 14000 | force_w 0.000 | train loss   0.2085 | valid acc 0.8462 | 0.154s / epoch | 
epoch 14100 | force_w 0.000 | train loss   0.2203 | valid acc 0.9615 | 0.153s / epoch | 
epoch 14200 | force_w 0.000 | train loss   0.1991 | valid acc 0.9615 | 0.152s / epoch | 
epoch 14300 | force_w 0.000 | train loss   0.2074 | valid acc 0.8462 | 0.154s / epoch | 
epoch 14400 | force_w 0.000 | train loss   0.2195 | valid acc 0.9615 | 0.153s / epoch | 
epoch 14500 | force_w 0.000 | train loss   0.1982 | valid acc 0.9615 | 0.154s / epoch | 
epoch 14600 | force_w 0.000 | train loss   0.2067 | valid acc 0.8462 | 0.157s / epoch | 
epoch 14700 | force_w 0.000 | train loss   0.2183 | valid acc 0.9615 | 0.156s / epoch | 
epoch 14800 | force_w 0.000 | train loss   0.1976 | valid acc 0.9615 | 0.154s / epoch | 
epoch 14900 | force_w 0.000 | train loss   0.2059 | valid acc 0.8462 | 0.156s / epoch | 
epoch 15000 | force_w 0.000 | train loss   0.2179 | valid acc 0.9615 | 0.155s / epoch | 
epoch 15100 | force_w 0.000 | train loss   0.1964 | valid acc 0.9615 | 0.155s / epoch | 
epoch 15200 | force_w 0.000 | train loss   0.2051 | valid acc 0.8462 | 0.151s / epoch | 
