attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch 11300 | force_w 0.000 | train loss   0.2257 | valid acc 0.9615 | 0.065s / epoch | 
epoch 11400 | force_w 0.000 | train loss   0.2079 | valid acc 0.9615 | 0.066s / epoch | 
epoch 11500 | force_w 0.000 | train loss   0.2199 | valid acc 0.8462 | 0.064s / epoch | 
epoch 11600 | force_w 0.000 | train loss   0.2309 | valid acc 0.9615 | 0.066s / epoch | 
epoch 11700 | force_w 0.000 | train loss   0.2082 | valid acc 0.9615 | 0.066s / epoch | 
epoch 11800 | force_w 0.000 | train loss   0.2168 | valid acc 0.8462 | 0.065s / epoch | 
epoch 11900 | force_w 0.000 | train loss   0.2238 | valid acc 0.9615 | 0.066s / epoch | 
epoch 12000 | force_w 0.000 | train loss   0.2070 | valid acc 0.9615 | 0.064s / epoch | 
epoch 12100 | force_w 0.000 | train loss   0.2138 | valid acc 0.8462 | 0.065s / epoch | 
epoch 12200 | force_w 0.000 | train loss   0.2206 | valid acc 0.9615 | 0.066s / epoch | 
epoch 12300 | force_w 0.000 | train loss   0.2062 | valid acc 0.9615 | 0.066s / epoch | 
epoch 12400 | force_w 0.000 | train loss   0.2206 | valid acc 0.8654 | 0.064s / epoch | 
epoch 12500 | force_w 0.000 | train loss   0.2318 | valid acc 0.9615 | 0.066s / epoch | 
epoch 12600 | force_w 0.000 | train loss   0.2071 | valid acc 0.9615 | 0.065s / epoch | 
epoch 12700 | force_w 0.000 | train loss   0.2101 | valid acc 0.8462 | 0.065s / epoch | 
epoch 12800 | force_w 0.000 | train loss   0.2239 | valid acc 0.9615 | 0.064s / epoch | 
epoch 12900 | force_w 0.000 | train loss   0.2051 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13000 | force_w 0.000 | train loss   0.2111 | valid acc 0.8462 | 0.064s / epoch | 
epoch 13100 | force_w 0.000 | train loss   0.2237 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13200 | force_w 0.000 | train loss   0.2068 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13300 | force_w 0.000 | train loss   0.2120 | valid acc 0.8462 | 0.065s / epoch | 
epoch 13400 | force_w 0.000 | train loss   0.2158 | valid acc 0.9615 | 0.065s / epoch | 
epoch 13500 | force_w 0.000 | train loss   0.2067 | valid acc 0.9615 | 0.065s / epoch | 
epoch 13600 | force_w 0.000 | train loss   0.2090 | valid acc 0.8462 | 0.065s / epoch | 
epoch 13700 | force_w 0.000 | train loss   0.2240 | valid acc 0.9615 | 0.065s / epoch | 
epoch 13800 | force_w 0.000 | train loss   0.2073 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13900 | force_w 0.000 | train loss   0.2105 | valid acc 0.8462 | 0.065s / epoch | 
epoch 14000 | force_w 0.000 | train loss   0.2175 | valid acc 0.9615 | 0.066s / epoch | 
epoch 14100 | force_w 0.000 | train loss   0.2069 | valid acc 0.9615 | 0.065s / epoch | 
epoch 14200 | force_w 0.000 | train loss   0.2103 | valid acc 0.8462 | 0.067s / epoch | 
epoch 14300 | force_w 0.000 | train loss   0.2165 | valid acc 0.9615 | 0.065s / epoch | 
epoch 14400 | force_w 0.000 | train loss   0.2058 | valid acc 0.9615 | 0.067s / epoch | 
epoch 14500 | force_w 0.000 | train loss   0.2098 | valid acc 0.8462 | 0.065s / epoch | 
epoch 14600 | force_w 0.000 | train loss   0.2155 | valid acc 0.9615 | 0.064s / epoch | 
epoch 14700 | force_w 0.000 | train loss   0.2007 | valid acc 0.9615 | 0.065s / epoch | 
epoch 14800 | force_w 0.000 | train loss   0.2066 | valid acc 0.8462 | 0.064s / epoch | 
epoch 14900 | force_w 0.000 | train loss   0.2179 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15000 | force_w 0.000 | train loss   0.2024 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15100 | force_w 0.000 | train loss   0.2060 | valid acc 0.8462 | 0.066s / epoch | 
epoch 15200 | force_w 0.000 | train loss   0.2155 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15300 | force_w 0.000 | train loss   0.2033 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15400 | force_w 0.000 | train loss   0.2042 | valid acc 0.8462 | 0.067s / epoch | 
epoch 15500 | force_w 0.000 | train loss   0.2151 | valid acc 0.9615 | 0.067s / epoch | 
epoch 15600 | force_w 0.000 | train loss   0.2013 | valid acc 0.9615 | 0.065s / epoch | 
epoch 15700 | force_w 0.000 | train loss   0.2026 | valid acc 0.8462 | 0.065s / epoch | 
epoch 15800 | force_w 0.000 | train loss   0.2164 | valid acc 0.9615 | 0.065s / epoch | 
epoch 15900 | force_w 0.000 | train loss   0.1964 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16000 | force_w 0.000 | train loss   0.2043 | valid acc 0.8462 | 0.065s / epoch | 
epoch 16100 | force_w 0.000 | train loss   0.2211 | valid acc 0.9615 | 0.064s / epoch | 
epoch 16200 | force_w 0.000 | train loss   0.1962 | valid acc 0.9615 | 0.067s / epoch | 
epoch 16300 | force_w 0.000 | train loss   0.2072 | valid acc 0.8462 | 0.065s / epoch | 
epoch 16400 | force_w 0.000 | train loss   0.2174 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16500 | force_w 0.000 | train loss   0.1970 | valid acc 0.9615 | 0.067s / epoch | 
epoch 16600 | force_w 0.000 | train loss   0.2033 | valid acc 0.8462 | 0.066s / epoch | 
epoch 16700 | force_w 0.000 | train loss   0.2117 | valid acc 0.9615 | 0.067s / epoch | 
epoch 16800 | force_w 0.000 | train loss   0.1952 | valid acc 0.9615 | 0.067s / epoch | 
epoch 16900 | force_w 0.000 | train loss   0.1994 | valid acc 0.8462 | 0.067s / epoch | 
epoch 17000 | force_w 0.000 | train loss   0.2122 | valid acc 0.9615 | 0.065s / epoch | 
epoch 17100 | force_w 0.000 | train loss   0.1960 | valid acc 0.9615 | 0.065s / epoch | 
epoch 17200 | force_w 0.000 | train loss   0.2041 | valid acc 0.8462 | 0.066s / epoch | 
epoch 17300 | force_w 0.000 | train loss   0.2122 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17400 | force_w 0.000 | train loss   0.1952 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17500 | force_w 0.000 | train loss   0.1998 | valid acc 0.8462 | 0.067s / epoch | 
epoch 17600 | force_w 0.000 | train loss   0.2102 | valid acc 0.9615 | 0.067s / epoch | 
epoch 17700 | force_w 0.000 | train loss   0.1977 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17800 | force_w 0.000 | train loss   0.1999 | valid acc 0.8462 | 0.067s / epoch | 
epoch 17900 | force_w 0.000 | train loss   0.2091 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18000 | force_w 0.000 | train loss   0.1974 | valid acc 0.9615 | 0.067s / epoch | 
epoch 18100 | force_w 0.000 | train loss   0.1996 | valid acc 0.8462 | 0.066s / epoch | 
epoch 18200 | force_w 0.000 | train loss   0.2083 | valid acc 0.9615 | 0.067s / epoch | 
epoch 18300 | force_w 0.000 | train loss   0.1966 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18400 | force_w 0.000 | train loss   0.1993 | valid acc 0.8462 | 0.065s / epoch | 
epoch 18500 | force_w 0.000 | train loss   0.2090 | valid acc 0.9615 | 0.065s / epoch | 
epoch 18600 | force_w 0.000 | train loss   0.1932 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18700 | force_w 0.000 | train loss   0.1950 | valid acc 0.8462 | 0.067s / epoch | 
epoch 18800 | force_w 0.000 | train loss   0.2073 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18900 | force_w 0.000 | train loss   0.1934 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19000 | force_w 0.000 | train loss   0.1973 | valid acc 0.8462 | 0.066s / epoch | 
epoch 19100 | force_w 0.000 | train loss   0.2049 | valid acc 0.9615 | 0.067s / epoch | 
