attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch 15700 | force_w 0.000 | train loss   0.2147 | valid acc 0.9615 | 0.065s / epoch | 
epoch 15800 | force_w 0.000 | train loss   0.1947 | valid acc 0.9615 | 0.065s / epoch | 
epoch 15900 | force_w 0.000 | train loss   0.2042 | valid acc 0.8462 | 0.066s / epoch | 
epoch 16000 | force_w 0.000 | train loss   0.2181 | valid acc 0.9615 | 0.065s / epoch | 
epoch 16100 | force_w 0.000 | train loss   0.1957 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16200 | force_w 0.000 | train loss   0.1986 | valid acc 0.8462 | 0.065s / epoch | 
epoch 16300 | force_w 0.000 | train loss   0.2159 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16400 | force_w 0.000 | train loss   0.1906 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16500 | force_w 0.000 | train loss   0.2014 | valid acc 0.8462 | 0.066s / epoch | 
epoch 16600 | force_w 0.000 | train loss   0.2149 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16700 | force_w 0.000 | train loss   0.1913 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16800 | force_w 0.000 | train loss   0.1952 | valid acc 0.8462 | 0.065s / epoch | 
epoch 16900 | force_w 0.000 | train loss   0.2133 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17000 | force_w 0.000 | train loss   0.2132 | valid acc 0.9615 | 0.064s / epoch | 
epoch 17100 | force_w 0.000 | train loss   0.1962 | valid acc 0.8462 | 0.066s / epoch | 
epoch 17200 | force_w 0.000 | train loss   0.2096 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17300 | force_w 0.000 | train loss   0.1896 | valid acc 0.9615 | 0.065s / epoch | 
epoch 17400 | force_w 0.000 | train loss   0.1943 | valid acc 0.8462 | 0.064s / epoch | 
epoch 17500 | force_w 0.000 | train loss   0.2091 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17600 | force_w 0.000 | train loss   0.1895 | valid acc 0.9615 | 0.065s / epoch | 
epoch 17700 | force_w 0.000 | train loss   0.1971 | valid acc 0.8462 | 0.066s / epoch | 
epoch 17800 | force_w 0.000 | train loss   0.2163 | valid acc 0.9615 | 0.067s / epoch | 
epoch 17900 | force_w 0.000 | train loss   0.1925 | valid acc 0.9615 | 0.065s / epoch | 
epoch 18000 | force_w 0.000 | train loss   0.1934 | valid acc 0.8462 | 0.066s / epoch | 
epoch 18100 | force_w 0.000 | train loss   0.2098 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18200 | force_w 0.000 | train loss   0.1920 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18300 | force_w 0.000 | train loss   0.1937 | valid acc 0.8462 | 0.067s / epoch | 
epoch 18400 | force_w 0.000 | train loss   0.2025 | valid acc 0.9615 | 0.067s / epoch | 
epoch 18500 | force_w 0.000 | train loss   0.1876 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18600 | force_w 0.000 | train loss   0.1906 | valid acc 0.8462 | 0.066s / epoch | 
epoch 18700 | force_w 0.000 | train loss   0.2170 | valid acc 0.9615 | 0.067s / epoch | 
epoch 18800 | force_w 0.000 | train loss   0.1892 | valid acc 0.9615 | 0.067s / epoch | 
epoch 18900 | force_w 0.000 | train loss   0.1939 | valid acc 0.8462 | 0.065s / epoch | 
epoch 19000 | force_w 0.000 | train loss   0.2015 | valid acc 0.9615 | 0.067s / epoch | 
