attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch  9600 | force_w 0.000 | train loss   0.3266 | valid acc 0.7115 | 0.065s / epoch | 
epoch  9700 | force_w 0.000 | train loss   0.3332 | valid acc 0.8654 | 0.063s / epoch | 
epoch  9800 | force_w 0.000 | train loss   0.3758 | valid acc 0.9615 | 0.065s / epoch | 
epoch  9900 | force_w 0.000 | train loss   0.3190 | valid acc 0.9615 | 0.066s / epoch | 
epoch 10000 | force_w 0.000 | train loss   0.3225 | valid acc 0.8654 | 0.066s / epoch | 
epoch 10100 | force_w 0.000 | train loss   0.3382 | valid acc 0.8462 | 0.066s / epoch | 
epoch 10200 | force_w 0.000 | train loss   0.3052 | valid acc 0.9615 | 0.064s / epoch | 
epoch 10300 | force_w 0.000 | train loss   0.3093 | valid acc 0.8654 | 0.066s / epoch | 
epoch 10400 | force_w 0.000 | train loss   0.3273 | valid acc 0.9615 | 0.064s / epoch | 
epoch 10500 | force_w 0.000 | train loss   0.2800 | valid acc 0.9615 | 0.063s / epoch | 
epoch 10600 | force_w 0.000 | train loss   0.2788 | valid acc 0.8654 | 0.066s / epoch | 
epoch 10700 | force_w 0.000 | train loss   0.3869 | valid acc 0.6731 | 0.064s / epoch | 
epoch 10800 | force_w 0.000 | train loss   0.2153 | valid acc 0.9615 | 0.065s / epoch | 
epoch 10900 | force_w 0.000 | train loss   0.2114 | valid acc 0.9615 | 0.066s / epoch | 
epoch 11000 | force_w 0.000 | train loss   0.2047 | valid acc 0.9615 | 0.066s / epoch | 
epoch 11100 | force_w 0.000 | train loss   0.2054 | valid acc 0.9615 | 0.066s / epoch | 
epoch 11200 | force_w 0.000 | train loss   0.2029 | valid acc 0.9615 | 0.066s / epoch | 
epoch 11300 | force_w 0.000 | train loss   0.1981 | valid acc 0.9615 | 0.064s / epoch | 
epoch 11400 | force_w 0.000 | train loss   0.2038 | valid acc 0.9615 | 0.064s / epoch | 
epoch 11500 | force_w 0.000 | train loss   0.2028 | valid acc 0.9615 | 0.064s / epoch | 
epoch 11600 | force_w 0.000 | train loss   0.2035 | valid acc 0.9615 | 0.063s / epoch | 
epoch 11700 | force_w 0.000 | train loss   0.1995 | valid acc 0.9615 | 0.064s / epoch | 
epoch 11800 | force_w 0.000 | train loss   0.1975 | valid acc 0.9615 | 0.067s / epoch | 
epoch 11900 | force_w 0.000 | train loss   0.1948 | valid acc 0.9615 | 0.066s / epoch | 
epoch 12000 | force_w 0.000 | train loss   0.1943 | valid acc 0.9615 | 0.066s / epoch | 
epoch 12100 | force_w 0.000 | train loss   0.1935 | valid acc 0.9615 | 0.065s / epoch | 
